FECHA_MAQ, FECHA_INICIO, HORA_INICIO, FECHA_FIN, HORA_FIN
1, 05/02/2021, 18:00, 07/02/2021, 17:00
2, 03/02/2021, 14:30, 05/02/2021, 16:50
3, 02/08/2021, 16:00, 03/09/2021, 17:00
3, 25/02/01, 15.00, 27/03/01, 16.00
3, 25/02/01, 15.00, 27/03/01, 16.00
3, 25/02/01, 15.00, 27/03/01, 16.00
3, 25/02/01, 15.00, 27/03/01, 16.00
3, 25/02/01, 15.00, 27/03/01, 16.00
3, 25/02/01, 15.00, 27/03/01, 16.00
3, 25/02/01, 15.00, 27/03/01, 16.00
3, 25/02/01, 15.00, 27/03/01, 16.00
3, 25/02/01, 15.00, 27/03/01, 16.00
3, 25/02/01, 15.00, 27/03/01, 16.00
3, 25/02/01, 15.00, 27/03/01, 16.00
3, 25/02/01, 15.00, 27/03/01, 16.00
3, 25/02/01, 15.00, 27/03/01, 16.00
3, 25/02/01, 15.00, 27/03/01, 16.00
3, 25/02/01, 15.00, 27/03/01, 16.00
3, 25/02/01, 15.00, 27/03/01, 16.00
3, 25/02/01, 15.00, 27/03/01, 16.00
3, 25/02/01, 15.00, 27/03/01, 16.00
3, 25/02/01, 15.00, 27/03/01, 16.00
